Offering,telstra Growth,telstra Balanced,telstra Conservative
2020-01,,,
2020-02,,,
2020-03,,,
2020-04,3.26,2.72,1.44
2020-05,3.21,2.66,1.44
2020-06,0.29,0.35,0.43
2020-07,1,0.69,0.38
2020-08,1.97,1.47,0.49
2020-09,-0.31,-0.15,0.04
2020-10,0.6,0.41,0.15
2020-11,6.11,5.03,2.45
2020-12,1.68,1.39,0.97
2021-01,0.28,0.18,0.06
2021-02,1.68,1.24,0.22
2021-03,2.58,2.3,1.18
2021-04,,,
2021-05,,,
2021-06,,,
