Offering,1993-01,1993-02,1993-03,1993-04,1993-05,1993-06,1993-07,1993-08,1993-09,1993-10,1993-11,1993-12,1994-01,1994-02,1994-03,1994-04,1994-05,1994-06,1994-07,1994-08,1994-09,1994-10,1994-11,1994-12,1995-01,1995-02,1995-03,1995-04,1995-05,1995-06,1995-07,1995-08,1995-09,1995-10,1995-11,1995-12,1996-01,1996-02,1996-03,1996-04,1996-05,1996-06,1996-07,1996-08,1996-09,1996-10,1996-11,1996-12,1997-01,1997-02,1997-03,1997-04,1997-05,1997-06,1997-07,1997-08,1997-09,1997-10,1997-11,1997-12,1998-01,1998-02,1998-03,1998-04,1998-05,1998-06,1998-07,1998-08,1998-09,1998-10,1998-11,1998-12,1999-01,1999-02,1999-03,1999-04,1999-05,1999-06,1999-07,1999-08,1999-09,1999-10,1999-11,1999-12,2000-01,2000-02,2000-03,2000-04,2000-05,2000-06,2000-07,2000-08,2000-09,2000-10,2000-11,2000-12,2001-01,2001-02,2001-03,2001-04,2001-05,2001-06,2001-07,2001-08,2001-09,2001-10,2001-11,2001-12,2002-01,2002-02,2002-03,2002-04,2002-05,2002-06,2002-07,2002-08,2002-09,2002-10,2002-11,2002-12,2003-01,2003-02,2003-03,2003-04,2003-05,2003-06,2003-07,2003-08,2003-09,2003-10,2003-11,2003-12,2004-01,2004-02,2004-03,2004-04,2004-05,2004-06,2004-07,2004-08,2004-09,2004-10,2004-11,2004-12,2005-01,2005-02,2005-03,2005-04,2005-05,2005-06,2005-07,2005-08,2005-09,2005-10,2005-11,2005-12,2006-01,2006-02,2006-03,2006-04,2006-05,2006-06,2006-07,2006-08,2006-09,2006-10,2006-11,2006-12,2007-01,2007-02,2007-03,2007-04,2007-05,2007-06,2007-07,2007-08,2007-09,2007-10,2007-11,2007-12,2008-01,2008-02,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06
hesta Shares Plus ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.57,1.23,-0.77,1.34,0.55,0.9,2.04,4.24,0.89,-0.25,1.35,-2.25,2.54,-3.57,-1.22,3.26,-0.53,0.19,-2.86,-1.15,2.36,1.7,2.99,-1.76,2.99,0.59,0.19,-0.81,1.78,2.98,-0.56,1.08,2.2,1.38,0.39,-0.04,0.05,0.88,1.24,2.85,1.77,0.97,1.03,0.07,-0.8,2.03,0.31,1.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hesta Cash ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.21,0.21,0.22,0.21,0.21,0.22,0.24,0.18,0.21,0.17,0.19,0.17,0.21,0.19,0.17,0.18,0.15,0.14,0.2,0.15,0.15,0.17,0.19,0.14,0.16,0.19,0.15,0.16,0.15,0.16,0.15,0.14,0.16,0.15,0.16,0.16,0.15,0.15,0.15,0.14,0.13,0.14,0.15,0.13,0.13,0.15,0.16,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hesta Global Bonds ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.37,0.8,0.03,0.64,0.84,0.82,1.24,0.08,0.48,-0.29,0.05,-0.48,0.73,0.33,0.25,0.44,-0.01,0.03,0.96,0.59,0.39,0.25,0.84,1.28,0.48,0.36,0.04,-0.67,-1.14,0.14,0.36,0.51,0.35,0.65,0.76,-0.32,0.31,0.45,-0.11,0.62,0.39,-0.16,-0.02,-0.06,0.6,-0.3,0.48,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hesta Property ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.11,1.18,1.19,0.5,0.56,1.06,0.63,0.55,2.06,0.64,0.47,0.86,1.06,0.68,1.45,0.09,0.58,2.23,-0.04,0.87,0.78,0.6,0.63,1.89,0.62,0.75,1.66,-0.1,0.47,1.64,0.14,0.85,1.16,-0.82,0.13,0.96,1.52,0.29,1.48,-0.07,0.71,2.02,0.2,0.55,1.51,-0.54,0.59,1.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hesta Infrastructure ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.76,-0.06,0.34,-0.06,0.06,0.34,1.24,1.35,2.34,-0.21,0.71,1.25,0.49,-0.04,2.3,0.1,0.19,1.25,2.46,0.07,1.98,0.42,1.72,0.74,0.59,0.28,1.58,0.1,0.17,2.05,0.41,0.27,2.48,0.63,0.35,1.21,-0.01,0.14,1.69,0.81,-0.04,2.15,0.33,0.96,3.62,-0.08,0.22,1.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hesta International Shares ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.11,1.89,1.43,0.6,3.71,0.58,2.6,4.53,0.75,0.17,1.96,-2.18,3.27,-4.59,-2.89,5.38,-0.88,-2.19,-4.96,-2.13,3.0,1.56,3.42,-2.37,2.99,1.33,-0.47,0.01,2.33,3.65,-0.79,2.24,2.06,2.81,1.97,-0.76,0.57,1.3,2.15,3.59,2.13,0.1,3.09,-1.47,-1.08,1.77,-0.53,0.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hesta Australian Shares ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.6,1.19,-4.02,2.86,-2.36,1.31,2.1,6.3,0.12,-1.14,1.01,-5.17,3.44,-5.93,-1.58,3.96,-0.22,2.07,-4.69,-1.08,4.22,2.56,3.22,-2.77,5.54,-0.38,0.51,-2.2,1.93,3.64,-0.89,1.46,2.82,0.73,-1.3,0.37,0.01,0.76,0.31,3.5,1.93,2.42,-0.15,0.22,-2.84,3.83,0.76,2.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hesta Private Equity ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.12,1.44,1.58,1.71,0.93,1.32,1.2,0.6,1.41,1.83,1.81,0.93,0.86,3.24,1.06,0.96,0.66,-0.78,0.94,0.08,0.51,-0.11,1.51,0.99,0.61,0.75,-0.21,0.66,1.39,0.98,-0.2,-0.4,3.13,0.82,1.35,0.61,-0.26,1.6,0.21,0.52,3.56,-0.42,0.34,1.35,0.43,0.56,1.46,0.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hesta High Growth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.06,2.33,-1.13,0.96,6.77,1.19,0.76,1.15,2.33,,,
aware Conservative,,,,,,,,,,,,,,,,,,,0.06999999999999999,2.0860398,-1.6289793000000001,0.6709728,-3.7656106,1.3103404,-2.0769045,2.0405693,1.2658202,4.1420622,2.4297881,1.4126465,1.4669162,0.9229733999999999,0.450262,-0.8896495000000001,2.8870848000000002,1.8918899999999998,2.2466111,0.5185687,-0.34232809999999997,2.1123426,-1.0505921999999999,0.38415,-2.0310128,3.9649256,0.8080646,1.6871163000000002,3.0781071,0.7501874000000001,0.9846021,2.7235053,-1.5482265,0.7743184999999999,5.2737879,4.4670275,2.4096443,-2.3084463,3.8981132,-5.297272,1.4510892,3.471987,1.3356082999999999,3.7432871,3.4095981999999996,0.8878202999999999,-0.3081374,-1.2029978000000001,1.7030496,-3.3943497000000002,-0.3900094,1.0204316,4.8738145,2.1133165999999997,0.5870150000000001,1.2071128,1.7433209,2.5206018,-3.0276791000000003,2.1299512,2.3502243999999997,0.9285933999999999,-3.2196191,-0.3615045,4.6935153,1.8403236,-1.967385,0.9254191,3.6975309999999997,-1.9703181,0.23249820000000002,3.0994198,2.3392071,2.4992454,-2.9121498999999997,0.8684502000000001,-0.1657182,-1.8203749000000002,2.9060149,-2.0261164000000003,-2.1399903,2.3058283,3.6969607,-0.8266127999999999,-1.8771924999999998,0.5237437,-10.2250673,7.8509417,2.3412821,0.06590059999999999,-0.41606259999999995,-0.7973325,1.6362063,-0.8649290000000001,-0.7112031000000001,-4.426305500000001,-5.5754842,5.188994999999999,-5.808940199999999,2.0421393,2.1586721,-0.8793501,-1.6850465,-3.0884992000000002,2.2268137,2.5479101,0.7258312,2.0831005,0.8456296999999999,1.3834149,0.5716846,0.8943095,-0.106567,2.5724442,2.1190148,0.3125339,1.3352985,2.2841031000000003,-0.7074592000000001,2.9739486,-2.1306719,1.3810071,2.3507505,-0.007050000000000001,4.2419785,3.7229344999999996,-0.1414612,1.2494868,0.7458418,-1.8302149,2.1874149999999997,2.570664,2.7750472000000004,1.1914176,3.5510514,-2.467129,4.863011200000001,2.176118,1.0113306,2.1206597,3.976119,0.9581596,-3.8307897,0.3535323,-0.7239485999999999,2.1419237,1.6846748000000002,2.9791478,0.1135289,3.4354702,1.4456251999999998,2.7953022,-1.8384654,3.2750012,1.5508861,-0.9550853,-2.3410436,1.3595685,2.9075578,1.7256045000000002,-2.9104937,0.5957089,-6.8862969,-0.059987599999999995,-3.4937996,3.6345975000000004,0.011919,-5.1964539,-3.6992707,3.903321,-2.3078216,-11.5127114,-2.2304378,0.2869624,-1.4918624999999999,-4.2633542,5.1574198,1.3493576,1.8492096999999998,0.7133502,3.336339,4.9242695,2.1137213,-1.3719759999999999,1.3623086,2.4165419,-2.4730253,0.3499598,4.0478443,-0.7680034,-3.9920838,-1.6842726,3.3228601,-2.1283844,3.7069642,0.6174657,0.1189645,1.9390553000000001,1.9876962000000002,0.0588532,0.1548789,0.9954795000000001,-1.6609467,-0.33300209999999997,-1.6780743,-4.1849501,-1.0428013,4.031988999999999,-3.1974843,0.5911128,2.8458821,1.6884039,2.6052492,-0.2069707,-2.506369,-1.0457313,1.4931383,2.8755354,1.2081296,0.8470602,-0.10354069999999999,3.1001775,3.6515975999999997,1.275545,2.6001244999999997,3.2095553999999997,-2.2166211000000002,5.1432595999999995,1.0163377,2.73094,1.7495565000000002,1.3355047,1.647562,-0.9901493000000001,2.5177156,-1.4789588,1.3023898,1.5727758,-0.2562674,1.3473418,1.3110016,-0.39778579999999997,-0.23096440000000001,2.9059888999999997,1.348077,0.8295145,4.7697283,0.48501789999999995,1.495322,0.23026560000000001,-2.7520807,2.5414116,-3.6883678000000004,-1.7169525,4.3587679,-0.23023729999999998,-0.41917730000000003,-4.3737686,-0.5029244,2.017513,2.3983601,2.6835049,-1.8373199999999998,3.7436982,0.22525610000000001,0.1238708,-1.0331919,2.0582792,2.3498544,0.0953,1.4191877,2.0760605,2.0065803,0.7314399,0.0982,0.1869476,0.9691771,1.18038,2.9241449999999998,1.7035201999999998,0.439402,1.6115135999999999,-0.2701752,-1.1075945,2.1443369,0.8159203,1.1439622999999999,1.5162629,1.8736354,-0.41528420000000005,-4.0151303,-0.43816089999999996,-1.8856016999999998,3.3073722,3.0443426,1.0073746,2.3273867999999998,-1.1301424,2.9219090999999997,1.7803505000000002,-0.8400843,1.1896848999999998,1.0638335,2.9051793,0.0672532,2.1992869,-3.9522213,-9.6352647,3.6351820999999997,2.4522959,1.5564373,1.1081901,2.5221899,-0.6783728,0.6133314,5.6249288,1.8477271,0.68203889977165,0.76950191809781,2.33706022778532,,,
aware Growth,0.01,0.4590252,0.5438147,1.0366079,2.2624891000000003,1.1068392999999999,4.8002721,5.4128635,0.4606038,2.8437601,-0.2370203,0.0,2.9917948,-1.6268115,-1.1743722,0.042830599999999996,-0.4636253,-2.6627684,0.4246387,1.8401352999999998,-1.8835714,0.6287292,-3.1661230999999996,1.387371,-1.7319122999999998,2.1438577,0.9698651,4.2599663,2.3966830000000003,1.2586749,1.3752322000000001,1.0071356,0.5959006,-0.8077848000000001,3.1280628999999998,1.6822605000000002,2.1723504,0.2443208,-0.33477450000000003,2.3137463,-1.2445226,0.5169988000000001,-1.7617422,4.3274954,0.6620212000000001,1.8425208,2.6522042999999997,0.553268,0.8596137,2.2107205000000003,-1.6146033,1.0323878,4.5047212000000005,3.9183852,2.0455931,-2.0686954,3.8518424,-4.6908087,1.5601086,3.0883821,0.9754738000000001,3.0262641,2.7164688,0.7569825,-0.2267724,-1.1641785,1.6249794000000002,-2.9710926,0.7072130999999999,1.1478843,3.799785,1.4704831,0.5611771,0.9651048000000001,1.4047495,2.1455137,-2.8950162,1.878223,2.0385082,0.1914331,-1.9258132000000001,-1.0913534,4.7677647,1.4348072,-1.9488094,1.0927934000000001,2.9702533,-0.6922996,-0.31780020000000003,2.8407351000000003,1.3443371000000002,2.455042,-2.2759771,0.6210285999999999,0.6340688,-0.036209700000000004,1.6261781,-1.3538236000000001,-1.4779634,1.9444624000000001,1.8765921,0.8761992999999999,-2.0008101,0.1288979,-6.0452107,4.9924235999999995,1.0710578,1.3434754,-1.1910033,0.3081788,0.5151658,-0.7246727,-0.0378007,-2.2377679,-3.1653995,1.6683699,-2.3720262,0.7356736,2.0171607000000003,-0.4836748,-1.5337313,-1.8397194,2.1757478,1.9860684,2.0161153,0.1769957,0.9590827,1.3270697999999999,-0.319506,1.7941919,-0.16286230000000002,2.3360091,0.64202,0.9545039,1.6675598,1.0177664,0.1397272,2.3347659,-0.9709841,1.3994639999999998,1.2706863000000002,1.1596670999999998,2.7524887000000002,2.794117,0.3294011,0.2613136,0.26369319999999996,-0.8201632000000001,2.2607146,2.3181325,1.9938464,0.5224796,3.2649437000000003,-2.5674283,4.3371932,2.0521099,1.6136793,0.7448181,3.0474323,0.7396275,-1.8307156000000002,0.41136569999999995,-1.057943,1.6386669999999999,1.1038401999999998,2.3707599,0.3580028,2.6440142,1.2686415,2.3697299000000003,-1.377378,2.6424525,1.1860985,-0.6553652,-1.5870729,1.1993854,2.3851062,1.5393066,-2.1980743,0.4698205,-4.9279801999999995,-0.0342837,-2.5390994,2.8132992,0.1170609,-3.8928847,-2.6953343000000003,3.2079290000000005,-1.6442779,-8.6546967,-1.5253411,0.5053969,-1.2154703,-3.1940446,4.0545676,1.0658707,1.4601812,0.6158458,2.6208844,3.9777395,1.797446,-1.0651081,1.1547345,1.8010526999999998,-1.7436871999999999,0.3698518,3.0952859999999998,-0.484799,-2.9383571,-1.0569819,2.5890845,-1.3992807,2.7966466999999997,0.5175005,0.0719928,1.5372474,1.6447342,0.1351543,0.2453397,0.888614,-1.0984251,-0.1340129,-1.1345429,-2.9231257999999998,-0.6806596,3.0260044,-2.2524582,0.5311102,2.2072163,1.3422832,2.0259221000000003,0.009890000000000001,-1.7031905,-0.6998069,1.2685497000000001,2.3062951000000003,1.0734701,0.7643834,-0.0482292,2.4522445999999998,2.9043846,1.1130676000000002,2.168889,2.4777344,-1.988537,4.3234234,0.8288123999999999,2.2183732000000003,1.4762498000000002,1.053879,1.3377503000000002,-0.6579486,2.0532613,-1.0728685,1.1464049,1.3485806,-0.0833592,1.1267437,1.0916591999999998,-0.3328036,-0.0132306,2.2582263,1.2047653,0.8078665,3.7789235999999997,0.4400535,1.1756072,0.0561875,-2.0461101,2.0165367,-2.7718703000000002,-1.3260908999999999,3.3392967000000002,-0.1849121,-0.3012935,-3.2958081,-0.26612250000000004,1.6642367000000002,1.9154996,2.3095706000000003,-1.2923662,3.2127269,0.24776820000000002,0.1103806,-0.8622601000000001,1.4827175,1.8848125,0.2286569,1.2065200999999999,1.7858353,1.7489616,0.7642143,0.00227,0.21899580000000002,0.8637216,0.9138490000000001,2.4595623,1.4232320999999999,0.3472163,1.2512778,-0.22026849999999998,-0.8278550000000001,1.6794033,0.7282884,0.9090727999999999,1.2762831000000001,1.5792594,-0.4075238,-3.0536695999999997,-0.3295807,-1.3437283,2.6810573,2.5222359,1.0237100000000001,1.8767576000000001,-0.6359807000000001,2.3294486,1.6204745999999999,-0.5612429999999999,0.9560346000000001,0.7755051,2.4934419,-0.0705648,1.9807029999999999,-2.9689844,-7.9097872,2.447104,1.9609934999999998,1.3708570999999998,0.9077313,1.9162834,-0.31565529999999997,0.5326021999999999,4.3161927,1.5052802,0.49860091063786,0.30008360110409,1.9528564654498,,,
aware Growth AVG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aware High Growth AVG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aware Diversified Socially Responsible Investment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.8099999999999999,2.1879405000000003,0.8184054,0.7626576,0.15365120000000002,2.3122998,2.9163442,0.9882716,2.0226082,2.3652398000000003,-2.0437478,4.177161900000001,0.43895239999999996,1.9681621,1.7413563,1.0437042,1.1767716,-0.6859015,1.9538252999999999,-0.7082334,1.2849981,1.6071538,0.0378858,1.1277452000000001,1.0181485000000001,-0.5157898999999999,0.199467,2.0415355,1.0583939,0.9520595999999999,3.3706465,0.3814031,1.116748,-0.359489,-1.9784328,1.6642126,-3.0239597,-1.399586,3.2482636,-0.1748517,-0.00231,-2.9449253,-0.1558303,1.4889243,1.4315591,2.5819985,-1.7678774000000002,3.1323841999999997,-0.2910305,-0.9891751000000001,-0.1875289,1.39565,2.2596393999999997,-0.0205,1.0739796,1.028357,1.4388368,0.992324,-0.094,0.21676629999999997,0.6184715000000001,0.7075713,2.0748450000000003,1.1068003,0.1667941,0.7799944,-0.10442050000000001,-1.0306032,1.3374054,0.3434077,0.6196893,1.6642009999999998,1.6431337000000001,-0.3128718,-3.1237621,-0.0579,-1.7898063,2.6964815,2.6988042,0.9849616,2.3307804,-0.6301557999999999,2.7738776,1.6510973000000002,-0.7825609000000001,0.9098116999999999,0.3391441,1.9866014,-0.1514156,1.8482638999999998,-3.1738932999999996,-7.1800161000000005,2.7742554,1.8174216,0.9478451000000001,0.9400798,1.5989497,-0.8066738,0.0431,3.7254191999999997,0.910302,-0.17294246645371,0.31762740659153,2.44612062416818,,,
aware Diversified Socially Responsible Investment AVG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
