Managed Fund Name,APIR,Fund Managers Name,URL
Australian Ethical Income ,AUG0003AU,Australian Ethical,www.australianethical.com.au
Australian Ethical International Shares ,AUG0006AU,Australian Ethical,www.australianethical.com.au
Aviva Investors Multi-Strategy Target Income ,PIM0037AU,Aviva,www.avivainvestors.com
Aviva Investors Multi-Strategy Target Return ,PIM0026AU,Aviva,www.avivainvestors.com
Bateau Global Opportunities ,SLT0068AU,Bateau,bateauam.com.au
Bell Global All Weather A ,BPF0002AU,Bell,www.bellasset.com.au
Bell Global Emerging Companies ,BPF0029AU,Bell,www.bellasset.com.au
Bell Global Equities Platform ,BPF0016AU,Bell,www.bellasset.com.au
Bell Global Pure Alpha A ,BPF0005AU,Bell,www.bellasset.com.au
Bendigo Adelaide Cash Management Trust ,AMF0100AU,Bendigo Bank,www.bendigobank.com.au
Bendigo Balanced Index ,STL0033AU,Bendigo Bank,www.bendigobank.com.au
Bendigo Balanced Wholesale ,STL0013AU,Bendigo Bank,www.bendigobank.com.au
Bendigo Diversified Fixed Interest ,STL0051AU,Bendigo Bank,www.bendigobank.com.au
Bennelong Australian Equities ,BFL0001AU,Baep,www.baep.com.au
Bennelong Concentrated Australian Equities ,BFL0002AU,Baep,www.baep.com.au
Bennelong Emerging Companies ,BFL3779AU,Baep,www.baep.com.au
Bennelong ex-20 Australian Equities ,BFL0004AU,Baep,www.baep.com.au
Bennelong Twenty20 Australian Equities ,BFL0017AU,Baep,www.baep.com.au
Bentham Asset backed Securities I ,HOW2852AU,Bentham Asset Management,www.benthamam.com
Bentham Global Income ,CSA0038AU,Bentham Asset Management,www.benthamam.com
Bentham Global Opportunities F ,HOW7031AU,Bentham Asset Management,www.benthamam.com
Bentham High Yield ,CSA0102AU,Bentham Asset Management,www.benthamam.com
Bentham Syndicated Loan NZD ,165696300,Bentham Asset Management,www.benthamam.com
Bentham Syndicated Loan ,CSA0046AU,Bentham Asset Management,www.benthamam.com
BlackRock Advantage Australian Equity ,BAR0814AU,BlackRock,www.blackrock.com
BlackRock Advantage Hedged International Equity ,BGL0109AU,BlackRock,www.blackrock.com
BlackRock Australian Alpha Tilts ,BGL0006AU,BlackRock,www.blackrock.com
BlackRock Australian Equity Market Neutral ,BGL0064AU,BlackRock,www.blackrock.com
BlackRock Australian Share Plus ,PWA0015AU,BlackRock,www.blackrock.com
BlackRock Australian Share ,PWA0014AU,BlackRock,www.blackrock.com
BlackRock Cash ,BGL0009AU,BlackRock,www.blackrock.com
BlackRock Enhanced Australian Bond ,BGL0060AU,BlackRock,www.blackrock.com
BlackRock Enhanced Cash H ,BLK0135AU,BlackRock,www.blackrock.com
BlackRock Equitised Long Short ,BGL0061AU,BlackRock,www.blackrock.com
BlackRock Equity ,PWA0001AU,BlackRock,www.blackrock.com
BlackRock Fission Indexed International Equity ,BGL0051AU,BlackRock,www.blackrock.com
BlackRock Fixed Income Global Opportunities Aust D ,BLK0003AU,BlackRock,www.blackrock.com
BlackRock Global Equity Signals D ,BLK5937AU,BlackRock,www.blackrock.com
BlackRock Global Listed Infrastructure ,BLK8833AU,BlackRock,www.blackrock.com
BlackRock International Alpha Tilts Active Currency and Country Hedged ,BGL0046AU,BlackRock,www.blackrock.com
BlackRock International Alpha Tilts Active Currency and Country ,BGL0047AU,BlackRock,www.blackrock.com
BlackRock International Alpha Tilts Hedged ,BGL0053AU,BlackRock,www.blackrock.com
BlackRock International Alpha Tilts ,BGL0001AU,BlackRock,www.blackrock.com
BlackRock iShares Wholesale Screened International Equity Index E ,BLK4380AU,BlackRock,www.blackrock.com
BlackRock Multi Opportunity Absolute Return ,BLK0001AU,BlackRock,www.blackrock.com
BlackRock Multi Opportunity ,BLK0001AU,BlackRock,www.blackrock.com
BlackRock Style Advantage E ,BLK0019AU,BlackRock,www.blackrock.com
BlackRock Wholesale International Bond ,PWA0825AU,BlackRock,www.blackrock.com
Bnp Paribas C Worldwide Global Equity Trust ,ARO0006AU,BNP Paribas,www.bnpparibas-am.com.au
BT Advance Australian Fixed Interest Multi Blend Retail ,ADV0084AU,BT,www.bt.com.au
BT Advance Australian Shares Multi-Blend Fund,ADV0045AU,BT,www.bt.com.au
Advance Defensive Yield Multi-Blend Fund,ADV0173AU,BT,www.bt.com.au
BT Advance Australian Smaller Companies Multi-Blend Fund,ADV0075AU,BT,www.bt.com.au
BT Australian Shares Index Fund,ADV0062AU,BT,www.bt.com.au
BT Multi-manager Australian Shares Fund,BTA0259AU,BT,www.bt.com.au
BT Wholesale Partner Australian Shares Core,BTA0241AU,BT,www.bt.com.au
BT Wholesale Partner Australian Shares Growth,BTA0242AU,BT,www.bt.com.au
BT Advance International Shares Multi-Blend Fund,ADV0053AU,BT,www.bt.com.au
BT Advance Asian Shares Multi-Blend Fund,ADV0083AU,BT,www.bt.com.au
BT Wholesale Partner International Shares Growth,ADV0056AU,BT,www.bt.com.au
BT Multi-manager International Shares Fund,BTA0261AU,BT,www.bt.com.au
BT Advance Property Securities Multi-Blend Fund,ADV0052AU,BT,www.bt.com.au
BT Australian Fixed Interest Index Fund,ADV0064AU,BT,www.bt.com.au
BT Advance International Fixed Interest Multi-Blend Fund,ADV0067AU,BT,www.bt.com.au
BT Multi-manager Fixed Interest Fund,BTA0260AU,BT,www.bt.com.au
BT International Fixed Interest Index Fund,ADV0058AU,BT,www.bt.com.au
BT Advance Cash Multi-Blend Fund,ADV0069AU,BT,www.bt.com.au
BT Premium Cash Fund,BTA0173AU,BT,www.bt.com.au
Capital Group Emerging Markets Total Opportunities (AU) ,CIM9121AU,Capital Group,www.capitalgroup.com
Capital Group Global Corporate Bond Hedged (AU) ,CIM0161AU,Capital Group,www.capitalgroup.com
Capital Group Global Equity (AU) ,WHT0044AU,Capital Group,www.capitalgroup.com
Capital Group Global High Income Opportunities Hedged (AU) ,CIM3839AU,Capital Group,www.capitalgroup.com
Capital Group New Perspective (AU) ,CIM0006AU,Capital Group,www.capitalgroup.com
Capital Group New Perspective Hedged (AU) ,CIM3839AU,Capital Group,www.capitalgroup.com
Capital Group New World (AU) ,CIM8680AU,Capital Group,www.capitalgroup.com
Capital Group World Dividend Growers (AU) ,CIM0002AU,Capital Group,www.capitalgroup.com
Centuria LifeGoals Pimco Global Bond Fund,OVS1514AU,Centuria,centuria.com.au
Centuria LifeGoals Pendal Sustainable Balanced Fund,OVS2591AU,Centuria,centuria.com.au
Centuria LifeGoals Russel Investments Balanced Fund,OVS9487AU,Centuria,centuria.com.au
Centuria LifeGoals Firetrail Australian High Conviction Fund,OVS5658AU,Centuria,centuria.com.au
Centuria LifeGoals Centuria Balanced Fund,OVS0011AU,Centuria,centuria.com.au
Centuria LifeGoals Fidelity Future Leaders in AU,OVS5444AU,Centuria,centuria.com.au
Centuria LifeGoals Magellan Infrastructure in AU,OVS0673AU,Centuria,centuria.com.au
Centuria LifeGoals Vanguard Australian Fixed Interest Index in AU,OVS5104AU,Centuria,centuria.com.au
Centuria LifeGoals Vanguard Australian Property Securities Index in AU,OVS5104AU,Centuria,centuria.com.au
Centuria LifeGoals Vanguard Diversified Balanced Index in AU,OVS4859AU,Centuria,centuria.com.au
Centuria Pendal Short Term Income Securities ,OVS5415AU,Centuria,centuria.com.au
CFM Institutional Systematic Diversified Trust A ,PIM0034AU,CFM Alta Beta,cfmaltbeta.com.au
CFM IS Trends Trust B ,PIM7962AU,CFM Alta Beta,cfmaltbeta.com.au
Chester High Conviction ,OPS7755AU,Chester,www.chesteram.com.au
ClearView CFML Antipodes Global ,CVW1890AU,Clearview,www.clearview.com.au
ClearView CFML Cash ,NRM0026AU,Clearview,www.clearview.com.au
ClearView CFML Colonial Infrastructure ,NRM0036AU,Clearview,www.clearview.com.au
ClearView CFML Fixed Interest ,NRM0030AU,Clearview,www.clearview.com.au
ClearView CFML Listed Property ,NRM0034AU,Clearview,www.clearview.com.au
ClearView CFML MFS International Shares ,NRM0032AU,Clearview,www.clearview.com.au
ClearView CFML RARE Emerging Markets ,NRM0038AU,Clearview,www.clearview.com.au
ClearView CFML Schroder Equity Opportunities ,NRM0028AU,Clearview,www.clearview.com.au
Clime Australian Fixed Interest Fund ,CLA0724AU,Clime,clime.com.au
Clime Australian Income Wholesale ,CLA0002AU,Clime,clime.com.au
Clime International Retail ,SLT0055AU,Clime,clime.com.au
Clime Smaller Companies Wholesale ,CLA1557AU,Clime,clime.com.au
Colchester Emerging Markets Bond I ,ETL3065AU,Colchester Global,colchesterglobal.com.au
Colchester Global Government Bond A ,ETL0409AU,Colchester Global,colchesterglobal.com.au
Colchester Global Government Bond I ,ETL5525AU,Colchester Global,colchesterglobal.com.au
Colchester Global Government Bond N ,ETL0467AU,Colchester Global,colchesterglobal.com.au
Cooper Investors Global Equities Hedged ,CIP0001AU,Cooper Investors,www.cooperinvestors.com
Cooper Investors Global Equities Unhedged ,CIP0003AU,Cooper Investors,www.cooperinvestors.com
Cor Capital Pty Ltd Cor Capital A ,COR0001AU,Cor Capital,corcapital.com.au
Cromwell Direct Property Fund ,CRM0018AU,Cromwell,www.cromwell.com.au
Cromwell Phoenix Property Securities ,CRM0008AU,Cromwell,www.cromwell.com.au
Daintree Core Income Trust NZD ,WPC0696AU,Daintree Capital,daintreecapital.com.au
Daintree Core Income Trust ,WPC1963AU,Daintree Capital,daintreecapital.com.au
Daintree High Income Trust NZD ,WPC0529AU,Daintree Capital,daintreecapital.com.au
Daintree High Income Trust ,WPC1583AU,Daintree Capital,daintreecapital.com.au
DDH Aggressive Growth ,QIN0001AU,DDH Graham,ddhgraham.com.au
DDH Australian Shares ,QIN0002AU,DDH Graham,ddhgraham.com.au
DDH Balanced Growth ,QIN0003AU,DDH Graham,ddhgraham.com.au
DDH Cash IDPS ,DDH0009AU,DDH Graham,ddhgraham.com.au
DDH Fixed Interest ,DDH0006AU,DDH Graham,ddhgraham.com.au
DDH Preferred Income ,DDH0001AU,DDH Graham,ddhgraham.com.au
DDH Selector Australian Equities ,DDH0002AU,DDH Graham,ddhgraham.com.au
DDH Selector High Conviction Equity A ,SEL0461AU ,DDH Graham,ddhgraham.com.au
Dimensional Australian Core Equity Trust ,DFA0003AU,Dimensional Fund Advisors,au.dimensional.com
Dimensional Australian Core Imputation Trust ,DFA0036AU,Dimensional Fund Advisors,au.dimensional.com
Dimensional Australian Large Company Trust ,DFA0103AU,Dimensional Fund Advisors,au.dimensional.com
Dimensional Australian Small Company Trust ,DFA0104AU,Dimensional Fund Advisors,au.dimensional.com
Dimensional Australian Sustainability Trust ,DFA2068AU,Dimensional Fund Advisors,au.dimensional.com
Dimensional Australian Value Trust ,DFA0101AU,Dimensional Fund Advisors,au.dimensional.com
Dimensional Emerging Markets Trust ,DFA0107AU,Dimensional Fund Advisors,au.dimensional.com
Dimensional Five Year Diversified Fixed Interest Trust AUD ,DFA0108AU,Dimensional Fund Advisors,au.dimensional.com
Dimensional Global Bond Sustainability Trust AUD AUD ,DFA0642AU,Dimensional Fund Advisors,au.dimensional.com
Dimensional Global Bond Trust AUD ,DFA0028AU,Dimensional Fund Advisors,au.dimensional.com
Dimensional Global Core Equity Trust Unhedged AUD ,DFA0004AU,Dimensional Fund Advisors,au.dimensional.com
Dimensional Global Large Company Trust ,DFA0105AU,Dimensional Fund Advisors,au.dimensional.com
Dimensional Global Real Estate Trust Inc AUD ,DFA0005AU,Dimensional Fund Advisors,au.dimensional.com
Dimensional Global Small Company Trust ,DFA0106AU,Dimensional Fund Advisors,au.dimensional.com
Dimensional Global Sustainability Trust Unhedged AUD ,DFA0041AU,Dimensional Fund Advisors,au.dimensional.com
Dimensional Global Value Trust ,DFA0102AU,Dimensional Fund Advisors,au.dimensional.com
Dimensional Short Term Fixed Interest Trust ,DFA0100AU,Dimensional Fund Advisors,au.dimensional.com
Dimensional World Allocation 50/50 Trust ,DFA0033AU,Dimensional Fund Advisors,au.dimensional.com
Dimensional World Equity Trust ,DFA0035AU,Dimensional Fund Advisors,au.dimensional.com
DSM Global Growth Equity ,ETL0199AU,DSM Capital,www.dsmcapital.com
Dundas Global Investors Apostle Dundas Global Equity C ,ETL0438AU,Apostle Fund Managers,apostlefm.com.au
Eiger Australian Small Companies A ,HOW2967AU,Eiger Capital,www.eigercapital.com
Eley Griffiths Group Emerging Companies ,PIM5346AU,Eley Griffiths,eleygriffithsgroup.com
Eley Griffiths Small Companies ,EGG0001AU,Eley Griffiths,eleygriffithsgroup.com
Ellerston  Australian Micro Cap Fund ,ECL0984AU,Ellerston Capital,ellerstoncapital.com
Ellerston Asia Growth Fund ,ECL1411AU,Ellerston Capital,ellerstoncapital.com
Ellerston Australian Absolute Return Fund A ,ECL0013AU,Ellerston Capital,ellerstoncapital.com
Ellerston Australian Emerging Leaders Fund ,ECL6748AU,Ellerston Capital,ellerstoncapital.com
Ellerston Global Equity Managers Fund – ,ECL0006AU,Ellerston Capital,ellerstoncapital.com
Ellerston Global Mid Small Cap Fund – Class A,ECL8388AU,Ellerston Capital,ellerstoncapital.com
Ellerston Overlay ASF ,ECL0012AU,Ellerston Capital,ellerstoncapital.com
Ellerstonn Share Fund – Class A ,ECL0005AU,Ellerston Capital,ellerstoncapital.com
Epoch Global Equity Shareholder Yield (Unhedged) ,GSF0002AU,GSFM,www.gsfm.com.au
Epoch Global Equity Shareholder Yield Hedged ,GSF0001AU,GSFM,www.gsfm.com.au
EQT Cash Management ,ETL0101AU,EQT,www.eqt.com.au
EQT Core International Equity ,ETL0107AU,EQT,www.eqt.com.au
EQT Diversified Fixed Income Retail ,ETL0420AU,EQT,www.eqt.com.au
EQT Flagship ,ETL0068AU,EQT,www.eqt.com.au
EQT Wholesale Flagship ,ETL5146AU,EQT,www.eqt.com.au
Equitable Dragonfly ,EQB7664AU,Equitable Investors,www.equitableinvestors.com.au
Evans And Partners International Hedged ,ETL0391AU,Evans And Partners,www.evansandpartners.com.au
Evans And Partners International ,ETL0390AU,Evans And Partners,www.evansandpartners.com.au
Fairview Equity Partners Emerging Companies ,ANT0002AU,Fairview Equity ,fairviewequity.com.au
Fidelity Australian Equities ,FID0008AU,Fidelity,www.fidelity.com.au
Fidelity Australian Opportunities ,FID0021AU,Fidelity,www.fidelity.com.au
Fidelity FIRST Global ,FID0026AU,Fidelity,www.fidelity.com.au
Fidelity Future Leaders ,FID5543AU,Fidelity,www.fidelity.com.au
Fidelity Global Demographics ,FID0023AU,Fidelity,www.fidelity.com.au
Fidelity Global Emerging Markets ,FID0031AU,Fidelity,www.fidelity.com.au
Fidelity Global Equities ,FID0007AU,Fidelity,www.fidelity.com.au
Fidelity Global Low Volatility Equity ,FID9876AU,Fidelity,www.fidelity.com.au
Firetrail Absolute Return A ,WHT5134AU,Firetrail,firetrail.com
Firetrail Australian High Conviction A ,WHT3810AU,Firetrail,firetrail.com
Firetrail Australian Small Companies Fund ,WHT3093AU,Firetrail ,firetrail.com
First Sentier First Sentier Global Listed Infrastructure Securities ,FSF1241AU,First Sentier Investors,www.firstsentierinvestors.com.au
First Sentier First Sentier Institutional Cash ,FSF0075AU,First Sentier Investors,www.firstsentierinvestors.com.au
Firstmac High Livez Retail ,PER0561AU,First Mac,www.firstmac.com.au
Flinders Emerging Companies B ,ETL0449AU,Flinders Invest,www.flindersinvest.com.au
Frame Futures D ,MSC0001AU,Frame Funds,www.framefunds.com.au
Freehold A-REITs & Listed Infrastructure ,LAM0042AU,Freehold,www.freeholdim.com.au
Freehold Australian Property ,LAM0044AU,Freehold,www.freeholdim.com.au
GCI Australian Capital Stable ,DDH8305AU,DDH Graham,ddhgraham.com.au
GCI Preferred Income Fund ,DDH0001AU,DDH Graham,ddhgraham.com.au
Global Value Investors Bendigo Global Share ,STL0015AU,Bendigo Bank,bendigobank.com.au
GQG Partners Emerging Markets Equity ,ETL4207AU,GQG Partners,gqgpartners.com
GQG Partners Global Equity ,ETL7377AU,GQG Partners,gqgpartners.com
Grant Samuel Tribeca Australian Smaller Companies A ,ETL0052AU,GSFM,www.gsfm.com.au
Greencape Broadcap ,HOW0034AU,Fidante,www.fidante.com
Greencape High Conviction ,HOW0035AU,Fidante,www.fidante.com
Hyperion Australian Growth Companies ,WHT8435AU,Hyperion,www.hyperion.com.au
Hyperion Global Growth Companies B ,BNT0003AU,Hyperion,www.hyperion.com.au
