Managed Fund Name,APIR,Fund Managers Name,URL
4D Global Infrastructure Fund,BFL0019AU,4D Global,www.4dinfra.com
AUSTRALIAN SMALL COMPANIES FUND,FHT0012AU,8IP,www.8ip.com.au
Inspire Australian Equities Fund,ETL6826AU,Inspire Australia,www.inspireaustralianequities.com.au
AB Alternative Risk Premia Fund,ACM1372AU,Alliance Berenstein,web.alliancebernstein.com
Aberdeen Standard Actively Hedged International Equities Fund,CRS0005AU,Aberdeen Standard,www.aberdeenstandard.com
Aberdeen Standard Australian Equities ,MGL0114AU,Aberdeen Standard,www.aberdeenstandard.com
Aberdeen Standard Australian Small Companies ,CSA0131AU,Aberdeen Standard,www.aberdeenstandard.com
Aberdeen Standard Emerging Market Local Currency Debt ,EQI0699AU,Aberdeen Standard,www.aberdeenstandard.com
Aberdeen Standard Emerging Opportunities , ETL0032AU,Aberdeen Standard,www.aberdeenstandard.com
Aberdeen Standard Ex-20 Australian Equities ,CRS0003AU,Aberdeen Standard,www.aberdeenstandard.com
Aberdeen Standard Fully Hedged International Equities ,CSA0135AU,Aberdeen Standard,www.aberdeenstandard.com
Aberdeen Standard Global Absolute Return Strategies ,ETL0130AU,Aberdeen Standard,www.aberdeenstandard.com
Aberdeen Standard International Equity ,EQI0015AU,Aberdeen Standard,www.aberdeenstandard.com
Aberdeen Standard Select Investment Actively Hedged International Equities ,CSA0114AU,Aberdeen Standard,www.aberdeenstandard.com
Acadian Aus Equity Long Short ,FSF0789AU,Acadian,www.acadian-asset.com
Acadian Defensive Income-Class A ,FSF0973AU,Acadian,www.acadian-asset.com
Acadian Global Managed Volatility Equity Fund ,FSF1240AU ,Acadian,www.acadian-asset.com
Acadian Wholesale Australian Equity Fund A ,FSF0787AU,Acadian,www.acadian-asset.com
Acadian Wholesale Geared Australian Equity Fund ,FSF0453AU,Acadian,www.acadian-asset.com
Acadian Wholesale Geared Global Equity Fund ,FSF0891AU,Acadian,www.acadian-asset.com
Acadian Wholesale Global Eqty Long Short ,FSF0788AU,Acadian,www.acadian-asset.com
Acadian Wholesale Sustainable Global Equity Fund ,FSF0710AU,Acadian,www.acadian-asset.com
Advance Australian Fixed Interest Index Wholesale ,ADV0064AU,Advance,www.advance.com.au/
Advance Australian Fixed Interest Multi Blend ,ADV0084AU,Advance,www.advance.com.au/
Advance Australian Property Securities Index Wholesale Units ,ADV0052AU,Advance,www.advance.com.au/
Advance Australian Shares Index Wholesale ,ADV0062AU,Advance,www.advance.com.au/
Advance Australian Shares Multi Blend ,ADV0045AU,Advance,www.advance.com.au/
Advance Balanced Multi Blend ,ADV0050AU,Advance,www.advance.com.au/
Advance Cash Management Trust ARS ,ADV0135AU,Advance,www.advance.com.au/
Advance Global Property ,ADV0135AU,Advance,www.advance.com.au/
Advance International Fixed Interest Index Wholesale ,ADV0058AU,Advance,www.advance.com.au/
Advance International Fixed Interest Multi Blend ,ADV0067AU,Advance,www.advance.com.au/
Advance International Shares Index Wholesale Units ,ADV0056AU,Advance,www.advance.com.au/
Advance International Shares Multi Blend ,ADV0053AU,Advance,www.advance.com.au/
Advance Property Securities Multi Blend ,ADV0095AU,Advance,www.advance.com.au/
Affluence Small Company ,AFX0240AU,Affluence,affluencefunds.com.au
Airlie Australian Share ,MGE9705AU,Arilie FundsManagement,www.airliefundsmanagement.com.au
Alexander Credit Income ,ETL2805AU,Alexander,www.alexanderfunds.com.au
Alexander Credit Opportunities ,OMF0005AU,Alexander,www.alexanderfunds.com.au
Allan Gray Australia Balanced ,ETL4654AU,Allan Gray,www.allangray.com.au
Allan Gray Australia Equity A ,ETL0060AU,Allan Gray,www.allangray.com.au
AllianceBernstein Concentrated Australian Equities ,ACM0005AU,Alliance Berenstein,web.alliancebernstein.com
AllianceBernstein Dynamic Global Fixed Income ,ACM0001AU,Alliance Berenstein,web.alliancebernstein.com
AllianceBernstein Global Equities ,ACM0009AU,Alliance Berenstein,web.alliancebernstein.com
AllianceBernstein Managed Volatility Equities ,ACM0006AU,Alliance Berenstein,web.alliancebernstein.com
Alpha Alternatives ,ETL0318AU,Alpha Fund Managers,alphafundmanagers.com.au
Alpha Australian Blue Chip ,ETL0091AU,Alpha Fund Managers,alphafundmanagers.com.au
Alpha Australian Small Companies ,ETL0092AU,Alpha Fund Managers,alphafundmanagers.com.au
Alpha Diversified Income ,ETL0329AU,Alpha Fund Managers,alphafundmanagers.com.au
Alpha Enhanced Yield ,ETL0093AU,Alpha Fund Managers,alphafundmanagers.com.au
Alpha Global Opportunities ,ETL0094AU,Alpha Fund Managers,alphafundmanagers.com.au
Alpha Infrastructure ,ETL0319AU,Alpha Fund Managers,alphafundmanagers.com.au
Alpha Property Securities ,ETL0095AU,Alpha Fund Managers,alphafundmanagers.com.au
Alphinity Australian Share B ,PAM0001AU,Alphinity,www.alphinity.com.au
Alphinity Concentrated Australian Share B ,HOW0026AU,Alphinity,www.alphinity.com.au
Alphinity Global Equity ,HOW0164AU,Alphinity,www.alphinity.com.au
Alphinity Sustainable Share ,HOW0121AU,Alphinity,www.alphinity.com.au
Altius Bond ,WFS0486AU,Australian Unity,www.australianunity.com.au
Altius Sustainable Bond ,AUS0071AU,Australian Unity,www.australianunity.com.au
Altrinsic Global Equities Trust ,ANT0005AU,MLC,www.mlc.com.au
AMP AB Advantage Dynamic Global Fixed Income ,AMP2066AU,AMP Capital,www.amp.com.au
AMP Antipodes Advantage Global Share ,AMP9989AU,AMP Capital,www.amp.com.au
AMP Arrowstreet Advantage Global Equity ,AMP8663AU,AMP Capital,www.amp.com.au
AMP Ausbil Advantage 130/30 Focus ,AAP0008AU,AMP Capital,www.amp.com.au
AMP Capital Advantage Core Infrastructure ,AMP1180AU,AMP Capital,www.ampcapital.com
AMP Capital Advantage Corporate Bond ,AMP0557AU,AMP Capital,www.ampcapital.com
AMP Capital Advantage Global Property Securities ,AMP0974AU,AMP Capital,www.ampcapital.com
AMP Capital Australian Emerging Companies A ,AMP6265AU,AMP Capital,www.ampcapital.com
AMP Capital Core Infrastructure ,AMP1179AU,AMP Capital,www.ampcapital.com
AMP Capital Core Property H ,AMP1015AU,AMP Capital,www.ampcapital.com
AMP Capital Corporate Bond ,AMP0557AU,AMP Capital,www.ampcapital.com
AMP Capital Enhanced Index Share A ,AMP0271AU,AMP Capital,www.ampcapital.com
AMP Capital Equity Income Generator,AMP1931AU,AMP Capital,www.ampcapital.com
AMP Capital Ethical Leaders International Share B ,AMP0455AU,AMP Capital,www.ampcapital.com
AMP Capital Future Directions International Bond A ,AMP0676AU,AMP Capital,www.ampcapital.com
AMP Capital Global Companies O ,AMP7497AU,AMP Capital,www.ampcapital.com
AMP Capital Global Infrastructure Securities Hedged H ,AMP1595AU,AMP Capital,www.ampcapital.com
AMP Capital Global Infrastructure Securities Unhedged R ,AMP1595AU,AMP Capital,www.ampcapital.com
AMP Capital Global Property Securities Fund ,AMP0974AU,AMP Capital,www.ampcapital.com
AMP Capital International Bond A ,AMP0268AU,AMP Capital,www.ampcapital.com
AMP Capital Listed Property Trusts A ,AMP0255AU,AMP Capital,www.ampcapital.com
AMP Capital Managed Treasury ,AMP0249AU,AMP Capital,www.ampcapital.com
AMP Capital Small Australian Companies H ,AMP0577AU,AMP Capital,www.ampcapital.com
AMP Capital Specialist Australian Share ,AMP0681AU,AMP Capital,www.ampcapital.com
AMP Capital Wholesale Australian Bond ,AMP0981AU,AMP Capital,www.ampcapital.com
AMP Experts' Choice Balanced ,HLR0003AU,AMP Capital,www.ampcapital.com
AMP Experts' Choice Diversified Interest Income ,HLR0001AU,AMP Capital,www.ampcapital.com
AMP Experts' Choice International Shares ,HLR0006AU,AMP Capital,www.ampcapital.com
AMP Experts' Choice Property and Infrastructure ,HLR0022AU,AMP Capital,www.ampcapital.com
AMP Experts' Choice Short Term Money Market ,HLR0007AU,AMP Capital,www.ampcapital.com
AMP Experts' Choice Small Companies ,HLR0023AU,AMP Capital,www.ampcapital.com
Antares Australian Equities Professional ,PPL0110AU,Antares Capital,www.antarescapital.com.au
Antares Dividend Builder Professional ,PPL0002AU,Antares Capital,www.antarescapital.com.au
Antares Elite Opportunities Professional ,PPL0115AU,Antares Capital,www.antarescapital.com.au
Antares High Growth Shares Personal ,PPL0106AU,Antares Capital,www.antarescapital.com.au
Antares Income ,PPL0028AU,Antares Capital,www.antarescapital.com.au
Antares Listed Property Personal ,NFS0209AU,Antares Capital,www.antarescapital.com.au
Antipodes Asia I ,IOF0203AU,Antipodes Partners,antipodespartners.com
Antipodes Global I ,IOF0045AU,Antipodes Partners,antipodespartners.com
Antipodes Global Long Only I ,WHT0057AU,Antipodes Partners,antipodespartners.com
Aoris International A ,PIM3513AU,Aoris,www.aoris.com.au
APN AREIT ,APN0008AU,APN Group,apngroup.com.au
APN Asian REIT ,APN0023AU,APN Group,apngroup.com.au
APN Property For Income 2 ,APN0004AU,APN Group,apngroup.com.au
APN Property For Income ,APN0001AU,APN Group,apngroup.com.au
APSEC Atlantic Pacific Australian Equity ,OMF0003AU,APSEC,www.apsec.com.au
AQR Wholesale DELTA ,PER0554AU,AQR,australia.aqr.com
AQR Wholesale Managed Futures ,PER0634AU,AQR,australia.aqr.com
Ardea ActiveX Ardea Real Outcome Bond A,HOW0098AU,Ardea,www.ardea.com.au
Ardea Australian Inflation Linked Bond A,HOW0062AU,Ardea,www.ardea.com.au
Ardea Diversified Bond A ,HOW8543AU,Ardea,www.ardea.com.au
Armytage Micro Cap Activist ,ETL3064AU,Armytage,www.armytage.com.au
Armytage Strategic Opportunities Ret ,ETL0139AU,Armytage,www.armytage.com.au
Artesian Corporate Bond A ,ETL8268AU,Artesian Invest,www.artesianinvest.com
Atlas High Income Property Ordinary ,OMF9290AU,Atlas Funds,atlasfunds.com.au
ATLAS Infrastructure Australian Feeder Hedged ,PIM9253AU ,Pan Tribal,www.pantribal.com.au
Atrium Evolution Series Diversified AEF 9 ,COL0031AU,Atrium,www.atriuminvest.com.au
Aurora Fortitude Absolute Return ,AFM0005AU,Aurora,www.aurorafunds.com.au
Ausbil 130/30 Focus Institutional ,AAP0008AU,Ausbil,www.ausbil.com.au
Ausbil 130/30 Focus Wholesale ,AAP0003AU,Ausbil,www.ausbil.com.au
Ausbil Active Sustainable Equity ,AAP3940AU,Ausbil,www.ausbil.com.au
Ausbil Australian Active Equity ,AAP0103AU,Ausbil,www.ausbil.com.au
Ausbil Australian Concentrated Equity ,AAP9227AU,Ausbil,www.ausbil.com.au
Ausbil Australian Emerging Leaders ,AAP0104AU,Ausbil,www.ausbil.com.au
Ausbil Candriam Sustainable Global Equity ,AAP0001AU,Ausbil,www.ausbil.com.au
Ausbil Global Essential Infrastructure ,AAP3601AU,Ausbil,www.ausbil.com.au
Ausbil Global Resources ,AAP5928AU,Ausbil,www.ausbil.com.au
Ausbil Global SmallCap ,AAP8285AU,Ausbil,www.ausbil.com.au
Ausbil MicroCap ,AAP0007AU,Ausbil,www.ausbil.com.au
Auscap Long Short Australian Equities ,ASX0001AU,AusCap,www.auscapam.com
Australian Ethical Advocacy ,AUG0008AU,Australian Ethical,www.australianethical.com.au
Australian Ethical Australian Shares ,AUG0002AU,Australian Ethical,www.australianethical.com.au
Australian Ethical Balanced Inc ,AUG0001AU,Australian Ethical,www.australianethical.com.au
Australian Ethical Diversified Shares ,AUG0004AU,Australian Ethical,www.australianethical.com.au
Australian Ethical Emerging Companies ,AUG0026AU,Australian Ethical,www.australianethical.com.au
Australian Ethical Fixed Interest ,AUG0021AU,Australian Ethical,www.australianethical.com.au
