Managed Fund Name,APIR,Fund Managers Name,URL
PIC Wholesale Index Plus Conservative Growth Portfolio MLC5068AU,MLC5068AU,MLC,https://www.mlcam.com.au/
MLC Wholesale Index Plus Balanced Portfolio MLC7387AU,MLC7387AU,MLC,https://www.mlcam.com.au/
MLC Wholesale Index Plus Conservative Growth Portfolio MLC7849AU,MLC7849AU,MLC,https://www.mlcam.com.au/
PIC Wholesale Index Plus Growth Portfolio MLC8225AU,MLC8225AU,MLC,https://www.mlcam.com.au/
MLC Wholesale Index Plus Growth Portfolio MLC9748AU,MLC9748AU,MLC,https://www.mlcam.com.au/
Maple–Brown Abbott Global Listed Infrastructure Fund MPL0006AU,MPL0006AU,Maple Brown Abbott,https://www.maple-brownabbott.com.au/
Maple–Brown Abbott Global Listed Infrastructure Fund – Hedged MPL0008AU,MPL0008AU,Maple Brown Abbott,https://www.maple-brownabbott.com.au/
AMP Capital Wholesale Australian Property Fund NML0001AU,NML0001AU,AMP Capital,https://www.ampcapital.com/
OC Premium Small Companies Fund OPS0002AU,OPS0002AU,OC Management,https://www.ocfunds.com.au/
Vertium Equity Income Fund OPS1827AU,OPS1827AU,Veritium,https://vertium.com.au/
Pengana Australian Equities Fund PCL0005AU,PCL0005AU,Pengana,https://pengana.com/
Perpetual Wholesale Industrial Fund PER0046AU,PER0046AU,Perpetual,https://www.perpetual.com.au/
Perpetual Wholesale Australian Fund PER0049AU,PER0049AU,Perpetual,https://www.perpetual.com.au/
Perpetual Wholesale Balanced Growth Fund PER0063AU,PER0063AU,Perpetual,https://www.perpetual.com.au/
Perpetual Wholesale Geared Australian Fund PER0071AU,PER0071AU,Perpetual,https://www.perpetual.com.au/
Perpetual Wholesale SHARE–PLUS Long–Short Fund PER0072AU,PER0072AU,Perpetual,https://www.perpetual.com.au/
Perpetual Wholesale Conservative Growth Fund PER0077AU,PER0077AU,Perpetual,https://www.perpetual.com.au/
Perpetual Wholesale Concentrated Equity Fund PER0102AU,PER0102AU,Perpetual,https://www.perpetual.com.au/
Perpetual's Wholesale Diversified Growth Fund PER0114AU,PER0114AU,Perpetual,https://www.perpetual.com.au/
Perpetual Wholesale Ethical SRI Fund PER0116AU,PER0116AU,Perpetual,https://www.perpetual.com.au/
Pengana Emerging Companies Fund PER0270AU,PER0270AU,Pengana,https://pengana.com/
JPMorgan Global Strategic Bond Fund PER0727AU,PER0727AU,JP Morgan,https://am.jpmorgan.com/au/en/asset-management/adv/
Platinum European Fund PLA0001AU,PLA0001AU,Platinum,https://www.platinum.com.au/
Platinum (Wholesale) International Fund PLA0002AU,PLA0002AU,Platinum,https://www.platinum.com.au/
Platinum Japan Fund PLA0003AU,PLA0003AU,Platinum,https://www.platinum.com.au/
Platinum Asia Fund PLA0004AU,PLA0004AU,Platinum,https://www.platinum.com.au/
PM CAPITAL Global Companies Fund PMC0100AU,PMC0100AU,PM Capital,https://www.pmcapital.com.au/
PM CAPITAL Enhanced Yield Fund PMC0103AU,PMC0103AU,PM Capital,https://www.pmcapital.com.au/
Antares Dividend Builder PPL0002AU,PPL0002AU,MLC,https://www.mlcam.com.au/
Presima Global Property Securities Concentrated Fund PPL0026AU,PPL0026AU,MLC,https://www.mlcam.com.au/
Antares Income Fund PPL0028AU,PPL0028AU,MLC,https://www.mlcam.com.au/
Redpoint Global Infrastructure Fund PPL0031AU,PPL0031AU,MLC,https://www.mlcam.com.au/
Intermede Global Equities Fund+ PPL0036AU,PPL0036AU,MLC,https://www.mlcam.com.au/
Antares High Growth Shares Fund PPL0106AU,PPL0106AU,MLC,https://www.mlcam.com.au/
