Managed Fund Name,APIR,Fund Managers Name,URL,,,,,,,,,,,,,
Perpetual WF Investment Advantage Ausbil Australian Emerging Leaders ,PER0451AU,Perpetual,www.perpetual.com.au,,,,,,,,,,,,,
Perpetual WF Investment Advantage Investors Mutual Future Leaders ,PER0483AU,Perpetual,www.perpetual.com.au,,,,,,,,,,,,,
Perpetual WF Investment Advantage Schroder Fixed Income ,PER0446AU,Perpetual,www.perpetual.com.au,,,,,,,,,,,,,
Perpetual WF Investment Advantage Vanguard Australian Fixed Interest Index ,PER0507AU,Perpetual,www.perpetual.com.au,,,,,,,,,,,,,
Perpetual Wholesale Australian Share ,PER0049AU,Perpetual,www.perpetual.com.au,,,,,,,,,,,,,
Perpetual Wholesale Concentrated Equity ,PER0102AU,Perpetual,www.perpetual.com.au,,,,,,,,,,,,,
Perpetual Wholesale Diversified Growth ,PER0114AU,Perpetual,www.perpetual.com.au,,,,,,,,,,,,,
Perpetual Wholesale Dynamic Fixed Income ,PER0557AU,Perpetual,www.perpetual.com.au,,,,,,,,,,,,,
Perpetual Wholesale Ethical SRI ,PER0116AU,Perpetual,www.perpetual.com.au,,,,,,,,,,,,,
Perpetual Wholesale Global Share Hedged A ,PER0752AU,Perpetual,www.perpetual.com.au,,,,,,,,,,,,,
Perpetual Wholesale International Share ,PER0050AU,Perpetual,www.perpetual.com.au,,,,,,,,,,,,,
Perpetual Wholesale Shareplus LongShort ,PER0072AU,Perpetual,www.perpetual.com.au,,,,,,,,,,,,,
Perpetual Wholesale Smaller Companies 2 ,PER0259AU,Perpetual,www.perpetual.com.au,,,,,,,,,,,,,
Perpetual Wholesale Smaller Companies ,PER0048AU,Perpetual,www.perpetual.com.au,,,,,,,,,,,,,
PIMCO Australian Bond Wholesale ,ETL0015AU,PIMCO,www.pimco.com.au,,,,,,,,,,,,,
PIMCO Australian Short-Term Bond Wholesale ,ETL0182AU,PIMCO,www.pimco.com.au,,,,,,,,,,,,,
Pimco Capital Securities Wholesale ,ETL0445AU,Pimco,www.pimco.com.au,,,,,,,,,,,,,
PIMCO Diversified Fixed Interest Wholesale ,ETL0016AU,PIMCO,www.pimco.com.au,,,,,,,,,,,,,
Pimco ESG Global Bond Wholesale ,PIC6396AU,Pimco,www.pimco.com.au,,,,,,,,,,,,,
PIMCO Global Bond Wholesale ,ETL0018AU,PIMCO,www.pimco.com.au,,,,,,,,,,,,,
PIMCO Global Credit Wholesale ,ETL0019AU,PIMCO,www.pimco.com.au,,,,,,,,,,,,,
Pimco Income Wholesale ,ETL0458AU,Pimco,www.pimco.com.au,,,,,,,,,,,,,
PIMCO Target Return Institutional ,ETL0050AU,PIMCO,www.pimco.com.au,,,,,,,,,,,,,
Pimco TRENDS Managed Futures Strategy Wholesale ,PIC9659AU,PIMCO,www.pimco.com.au,,,,,,,,,,,,,
PineBridge Global Dynamic Asset Allocation I ,PER0744AU,Pinebridge,www.pinebridge.com,,,,,,,,,,,,,
Pinnacle BNY Mellon Global Infrastructure Yield A ,WHT6597AU,Pinnacle,pinnacleinvestment.com,,,,,,,,,,,,,
Plato Global Shares Income A ,WHT0061AU,Plato ,plato.com.au,,,,,,,,,,,,,
Platypus Australian Equities Trust Wholesale ,AUS0030AU ,Platypus,www.platypusassetmanagement.com.au,,,,,,,,,,,,,
Platypus Systematic Growth ,AUS0036AU,Platypus,www.platypusassetmanagement.com.au,,,,,,,,,,,,,
PM Capital Australian Companies ,PMC0101AU,PM,www.pmcapital.com.au,,,,,,,,,,,,,
PM Capital Enhanced Yield B ,PMC4700AU,PM,www.pmcapital.com.au,,,,,,,,,,,,,
PM Capital Global Companies ,PMC0100AU,PM,www.pmcapital.com.au,,,,,,,,,,,,,
Premium Asia Income ,MAQ0782AU,Premium China,www.premiumchinafunds.com.au,,,,,,,,,,,,,
Prime Value Emerging Opportunities ,PVA0013AU,Prime Value,primevalue.com.au,,,,,,,,,,,,,
Prime Value Growth A ,PVA0001AU,Prime Value,primevalue.com.au,,,,,,,,,,,,,
Prime Value Imputation A ,PVA0002AU,Prime Value,primevalue.com.au,,,,,,,,,,,,,
Prime Value Opportunities A ,PVA0005AU,Prime Value,primevalue.com.au,,,,,,,,,,,,,
Pyrford BMO Pyrford Global Absolute Return ,PER0728AU,BMOG,www.bmogam.com,,,,,,,,,,,,,
RARE Emerging Markets ,TGP0015AU,ClearBridge,www.clearbridgeinvestments.com.au,,,,,,,,,,,,,
RARE Infrastructure Value Hedged ,TGP0008AU,ClearBridge,www.clearbridgeinvestments.com.au,,,,,,,,,,,,,
RARE Infrastructure Value Unhedged ,TGP0034AU,ClearBridge,www.clearbridgeinvestments.com.au,,,,,,,,,,,,,
Realm High Income ,OMIF1394AU,Realm,www.realminvestments.com.au,,,,,,,,,,,,,
Realm Short Term Income ,OMF8160AU,Realm,www.realminvestments.com.au,,,,,,,,,,,,,
Resolution Capital Core Plus Property Securities II ,IOF0044AU,Rescap,rescap.com,,,,,,,,,,,,,
Robeco Global DM Multifactor Alpha Equities Hedged ,ETL6318AU,Robeco,www.robeco.com,,,,,,,,,,,,,
Russell Australian Bond A ,RIM0005AU,Russell,russellinvestments.com,,,,,,,,,,,,,
Russell Australian Bond Income A ,RIM0045AU,Russell,russellinvestments.com,,,,,,,,,,,,,
Russell Australian Cash A ,RIM0041AU,Russell,russellinvestments.com,,,,,,,,,,,,,
Russell Australian Floating Rate ,RIM0037AU,Russell,russellinvestments.com,,,,,,,,,,,,,
Russell Diversified 50 C ,RIM0013AU,Russell,russellinvestments.com,,,,,,,,,,,,,
Russell Global Listed Infrastructure $A Hedged A ,RIM0042AU,Russell,russellinvestments.com,,,,,,,,,,,,,
Russell Global Opportunities $A Hedged A AUD ,RIM0039AU,Russell,russellinvestments.com,,,,,,,,,,,,,
Russell International Bond A$ Hedged A ,RIM0007AU,Russell,russellinvestments.com,,,,,,,,,,,,,
Sandhurst Strategic Income A ,STL0027AU,Bendigo Bank,www.bendigobank.com.au,,,,,,,,,,,,,
Sanlam Real Assets ,ETL2760AU,Sanlam Private Wealth,sanlamprivatewealth.com.au,,,,,,,,,,,,,
Schroder Absolute Return Income Professional ,SCH0002AU,Schroders,www.schroders.com,,,,,,,,,,,,,
Schroder Australian Equity ,SCH0002AU,Schroders,www.schroders.com,,,,,,,,,,,,,
Schroder Emerging Markets Sustainable Wholesale ,SCH0097AU,Schroders,www.schroders.com,,,,,,,,,,,,,
Schroder Equity Opportunities Wholesale ,SCH0035AU,Schroders,www.schroders.com,,,,,,,,,,,,,
Schroder Fixed Income Wholesale ,SCH0028AU,Schroders,www.schroders.com,,,,,,,,,,,,,
Schroder Global Emerging Markets Wholesale ,SCH0034AU,Schroders,www.schroders.com,,,,,,,,,,,,,
Schroder Global Recovery Wholesale ,SCH0095AU,Schroders,www.schroders.com,,,,,,,,,,,,,
Schroder Global Sustainable Equity Hedged Inst ,SCH0051AU,Schroders,www.schroders.com,,,,,,,,,,,,,
Schroder Global Sustainable Equity Wholesale ,SCH0040AU,Schroders,www.schroders.com,,,,,,,,,,,,,
Schroder Global Value Hedged ,SCH0032AU,Schroders,www.schroders.com,,,,,,,,,,,,,
Schroder Global Value Unhedged ,SCH0030AU,Schroders,www.schroders.com,,,,,,,,,,,,,
Schroder Strategic Growth Wholesale ,SCH0102AU,Schroders,www.schroders.com,,,,,,,,,,,,,
Schroder Sustainable Global Core Wholesale ,SCH0003AU,Schroders,www.schroders.com,,,,,,,,,,,,,
Schroder Wholesale Australian Equity ,SCH0101AU,Schroders,www.schroders.com,,,,,,,,,,,,,
SGH 20 ,ETL0042AU,SGHiscock,sghiscock.com.au,,,,,,,,,,,,,
SGH Australia Plus ,ETL0383AU,SGHiscock,sghiscock.com.au,,,,,,,,,,,,,
SGH Emerging Companies ,ETL0118AU,SGHiscock,sghiscock.com.au,,,,,,,,,,,,,
SGH ICE ,ETL0062AU,SGHiscock,sghiscock.com.au,,,,,,,,,,,,,
SGH LaSalle Concentrated Global Property ,ETL0394AU,SGHiscock,sghiscock.com.au,,,,,,,,,,,,,
SGH LaSalle Global Listed Property Securities ,ETL0005AU,SGHiscock,sghiscock.com.au,,,,,,,,,,,,,
SGH Property Income ,ETL0119AU,SGHiscock,sghiscock.com.au,,,,,,,,,,,,,
Smarter Money Higher Income Assisted Investor ,SLT0052AU,Coolabah,coolabahcapital.com,,,,,,,,,,,,,
Smarter Money Smarter Money Assisted Investor ,CRE0014AU,Coolabah,coolabahcapital.com,,,,,,,,,,,,,
Solaris Australian Equity (Total Return) ,SOL0002AU,Solaris,solariswealth.com.au,,,,,,,,,,,,,
Solaris Australian Equity Long Short ,WHT3859AU,Solaris,solariswealth.com.au,,,,,,,,,,,,,
Spectrum Spectrum Strategic Income ,ETL0072AU,EQT,www.eqt.com.au,,,,,,,,,,,,,
Spheria Australian Microcap ,WHT0066AU,Spheria,spheria.com.au,,,,,,,,,,,,,
Spheria Australian Smaller Companies ,WHT0008AU,Spheria,spheria.com.au,,,,,,,,,,,,,
Spheria Opportunities ,WHT0025AU,Spheria,spheria.com.au,,,,,,,,,,,,,
Spire USA Multifamily IV ,SPI1337AU,Spire,www.spirecapital.com.au,,,,,,,,,,,,,
Spire USA ROC II ,ETL0371AU,Spire,www.spirecapital.com.au,,,,,,,,,,,,,
Spire USA ROC III Retail ,ETL0460AU,Spire,www.spirecapital.com.au,,,,,,,,,,,,,
Spire USA ROC IV ,ETL8946AU,Spire,www.spirecapital.com.au,,,,,,,,,,,,,
Spire USA ROC Office I ,ETL1567AU,Spire,www.spirecapital.com.au,,,,,,,,,,,,,
Spire USA ROC Seniors Housing and Medical Properties II ,ETL1507AU,Spire,www.spirecapital.com.au,,,,,,,,,,,,,
Spire USA ROC Seniors Housing and Medical Properties Retail ,ETL0412AU,Spire,www.spirecapital.com.au,,,,,,,,,,,,,
SSgA Floating Rate ,SST4725AU,SSGA,www.ssga.com,,,,,,,,,,,,,
State Street Australian Equities Index Trust ,SST0004AU,SSGA,www.ssga.com,,,,,,,,,,,,,
State Street Australian Equity ,SST0048AU,SSGA,www.ssga.com,,,,,,,,,,,,,
State Street Australian Fixed Income Index Trust ,SST0005AU,SSGA,www.ssga.com,,,,,,,,,,,,,
State Street Australian Listed Property Index Trust ,SST0007AU,SSGA,www.ssga.com,,,,,,,,,,,,,
State Street Climate ESG International Equity ,SST0057AU,SSGA,www.ssga.com,,,,,,,,,,,,,
State Street Global Equity ,SST0050AU,SSGA,www.ssga.com,,,,,,,,,,,,,
State Street Global Fixed Income Index Trust ,SST0009AU,SSGA,www.ssga.com,,,,,,,,,,,,,
State Street Global Index Plus (Hedged) Trust ,SST0021AU,SSGA,www.ssga.com,,,,,,,,,,,,,
State Street Global Index Plus Trust ,SST0010AU,SSGA,www.ssga.com,,,,,,,,,,,,,
State Street International Equities Index (Hedged) Trust ,SST0022AU,SSGA,www.ssga.com,,,,,,,,,,,,,
State Street International Equities Index Trust ,SST0013AU,SSGA,www.ssga.com,,,,,,,,,,,,,
T. Rowe Price Australian Equity ,ETL0328AU,Trowe Price,www.troweprice.com,,,,,,,,,,,,,
T. Rowe Price Dynamic Global Bond ,ETL0398AU,Trowe Price,www.troweprice.com,,,,,,,,,,,,,
T. Rowe Price Global Equity ,ETL0071AU,Trowe Price,www.troweprice.com,,,,,,,,,,,,,
Talaria Global Equity Hedged ,WFS0547AU,Talaria,www.talariacapital.com.au,,,,,,,,,,,,,
Talaria Global Equity Wholesale Units ,AUS0035AU,Talaria,www.talariacapital.com.au,,,,,,,,,,,,,
THB International Micro Cap W ,ETL3238AU,Brook Vine,brookvine.com.au,,,,,,,,,,,,,
Tribeca Alpha Plus A ,ETL0069AU,GSFM,www.gsfm.com.au,,,,,,,,,,,,,
Trinetra Emerging Markets Growth Trust ,PIM4232AU,Trineta,www.trinetra-im.com,,,,,,,,,,,,,
U Ethical Australian Equities Trust Retail ,UGF0001AU,Uethical,www.uethical.com,,,,,,,,,,,,,
U Ethical Australian Equities Trust Wholesale ,UGF2230AU,Uethical,www.uethical.com,,,,,,,,,,,,,
U Ethical Cash Management Trust ,UGF0002AU,Uethical,www.uethical.com,,,,,,,,,,,,,
UBS Australian Bond Fund ,SBC0813AU,UBS,www.ubs.com,,,,,,,,,,,,,
UBS Australian Small Companies Fund ,UBS0004AU,UBS,www.ubs.com,,,,,,,,,,,,,
UBS Australian Small Companies SIV Fund ,UBS0063AU,UBS,www.ubs.com,,,,,,,,,,,,,
UBS Cash Fund ,UBS8018AU,UBS,www.ubs.com,,,,,,,,,,,,,
UBS Clarion Global Infrastructure Securities Fund ,UBS0064AU,UBS,www.ubs.com,,,,,,,,,,,,,
UBS Clarion Global Property Securities Fund ,HML0016AU,UBS,www.ubs.com,,,,,,,,,,,,,
UBS Diversified Fixed Income Fund ,SBC0007AU,UBS,www.ubs.com,,,,,,,,,,,,,
UBS Emerging Markets Equity Fund ,UBS8018AU,UBS,www.ubs.com,,,,,,,,,,,,,
UBS Income Solution Fund ,UBS0003AU,UBS,www.ubs.com,,,,,,,,,,,,,
UBS International Bond Fund ,SBC0819AU,UBS,www.ubs.com,,,,,,,,,,,,,
UBS International Share Fund ,SBC0822AU,UBS,www.ubs.com,,,,,,,,,,,,,
UBS Microcap Fund ,UBS0057AU,UBS,www.ubs.com,,,,,,,,,,,,,
UBS Property Securities Fund ,SBC0816AU,UBS,www.ubs.com,,,,,,,,,,,,,
UBS Short-Term Fixed Income Fund ,SBC0812AU,UBS,www.ubs.com,,,,,,,,,,,,,
UBS Tactical Beta Fund Balanced ,UBS0041AU,UBS,www.ubs.com,,,,,,,,,,,,,
Vanguard Active Emerging Markets Equity ,VAN0221AU,Vanguard,www.vanguard.com.au,,,,,,,,,,,,,
Vanguard Active Global Growth ,VAN0722AU,Vanguard,www.vanguard.com.au,,,,,,,,,,,,,
Vanguard Australian Corporate Fixed Interest Index ,VAN0065AU,Vanguard,www.vanguard.com.au,,,,,,,,,,,,,
Vanguard Australian Fixed Interest Index ,VAN0001AU,Vanguard,www.vanguard.com.au,,,,,,,,,,,,,
Vanguard Australian Government Bond Index ,VAN0025AU,Vanguard,www.vanguard.com.au,,,,,,,,,,,,,
Vanguard Australian Property Securities Index ,VAN0004AU,Vanguard,www.vanguard.com.au,,,,,,,,,,,,,
Vanguard Australian Shares Index ,VAN0002AU,Vanguard,www.vanguard.com.au,,,,,,,,,,,,,
Vanguard Balanced Index ,VAN0108AU,Vanguard,www.vanguard.com.au,,,,,,,,,,,,,
Vanguard Cash Reserve ,VAN0020AU,Vanguard,www.vanguard.com.au,,,,,,,,,,,,,
Vanguard Emerging Markets Share Index ,VAN0005AU,Vanguard,www.vanguard.com.au,,,,,,,,,,,,,
Vanguard Ethically Conscious Global Aggregate Bond Index Hedged AUD ,VAN2989AU,Vanguard,www.vanguard.com.au,,,,,,,,,,,,,
Vanguard Ethically Conscious Global Aggregate Bond Index Hedged NZD ,VAN1233AU,Vanguard,www.vanguard.com.au,,,,,,,,,,,,,
Vanguard Ethically Conscious International Shares Index Hedged NZD ,VAN4013AU,Vanguard,www.vanguard.com.au,,,,,,,,,,,,,
Vanguard Global Aggregate Bond Index ETF Hedged ,VAN9309AU,Vanguard,www.vanguard.com.au,,,,,,,,,,,,,
Vanguard Global Aggregate Bond Index Hedged Inc ,VAN9309AU,Vanguard,www.vanguard.com.au,,,,,,,,,,,,,
Vanguard Global Infrastructure Index Hedged ,VAN0024AU,Vanguard,www.vanguard.com.au,,,,,,,,,,,,,
Vanguard Global Infrastructure Index ,VAN0023AU,Vanguard,www.vanguard.com.au,,,,,,,,,,,,,
Vanguard Global Minimum Volatility ,VAN0068AU,Vanguard,www.vanguard.com.au,,,,,,,,,,,,,
Vanguard Global Multi-Factor ,VAN3759AU,Vanguard,www.vanguard.com.au,,,,,,,,,,,,,
Vanguard Global Value Equity ,VAN0074AU,Vanguard,www.vanguard.com.au,,,,,,,,,,,,,
Vanguard Index Australian Shares ,VAN0010AU,Vanguard,www.vanguard.com.au,,,,,,,,,,,,,
Vanguard Index Diversified Bond ,VAN0101AU,Vanguard,www.vanguard.com.au,,,,,,,,,,,,,
Vanguard Index Hedged International Shares ,VAN0107AU,Vanguard,www.vanguard.com.au,,,,,,,,,,,,,
Vanguard Index International Shares ,VAN0011AU,Vanguard,www.vanguard.com.au,,,,,,,,,,,,,
Vanguard International Credit Securities Index Hedged ,VAN0106AU,Vanguard,www.vanguard.com.au,,,,,,,,,,,,,
Vanguard International Fixed Interest Index Hedged ,VAN0103AU,Vanguard,www.vanguard.com.au,,,,,,,,,,,,,
Vanguard International Property Securities Index Hedged ,VAN0019AU,Vanguard,www.vanguard.com.au,,,,,,,,,,,,,
Vanguard International Property Securities Index ,VAN0018AU,Vanguard,www.vanguard.com.au,,,,,,,,,,,,,
Vanguard International Share Index AUD ,VAN0003AU,Vanguard,www.vanguard.com.au,,,,,,,,,,,,,
Vanguard International Share Index Hedged AUD ,VAN0105AU,Vanguard,www.vanguard.com.au,,,,,,,,,,,,,
Vanguard International Share Index Hedged NZD NZD ,VAN0066AU,Vanguard,www.vanguard.com.au,,,,,,,,,,,,,
Vanguard International Shares Select Exclusions Index AUD ,VAN3200AU,Vanguard,www.vanguard.com.au,,,,,,,,,,,,,
Vanguard International Small Companies Index ,VAN0021AU,Vanguard,www.vanguard.com.au,,,,,,,,,,,,,
Vanguard Investor Short Term Fixed Interest ,VAN0100AU,Vanguard,www.vanguard.com.au,,,,,,,,,,,,,
Vanguard LifeStrategy Balanced ,VAN0124AU,Vanguard,www.vanguard.com.au,,,,,,,,,,,,,
Vanguard Short Term Fixed Interest ,VAN0102AU,Vanguard,www.vanguard.com.au,,,,,,,,,,,,,
Ventura Australian Opportunities ,VEN0026AU,Ventura,venturafm.com.au,,,,,,,,,,,,,
Ventura Australian Shares ,VEN0030AU,Ventura,venturafm.com.au,,,,,,,,,,,,,
Ventura Diversified 50 ,VEN0028AU,Ventura,venturafm.com.au,,,,,,,,,,,,,
Ventura Global Opportunities ,VEN0008AU,Ventura,venturafm.com.au,,,,,,,,,,,,,
Ventura International Shares ,VEN0031AU,Ventura,venturafm.com.au,,,,,,,,,,,,,
Watermark Absolute Return ,ETL8732AU,Wfunds,wfunds.com.au,,,,,,,,,,,,,
WaveStone Australian Share ,HOW0020AU,WaveStone,www.wavestonecapital.com.au,,,,,,,,,,,,,
WaveStone Dynamic Australian Equity ,HOW0053AU,WaveStone,www.wavestonecapital.com.au,,,,,,,,,,,,,
Wenlock Global ,ETL0676AU,Wenlock,www.wenlockcapital.com.au,,,,,,,,,,,,,
Wheelhouse Partners Wheelhouse Global Equity Income ,BFL3446AU,Wheelhouse Partners,www.wheelhouse-partners.com,,,,,,,,,,,,,
Yarra Australian Equities Direct ,JBW0114AU,Yarra,www.yarracm.com,,,,,,,,,,,,,
Yarra Australian Real Assets Securities ,JBW0030AU,Yarra,www.yarracm.com,,,,,,,,,,,,,
Yarra Emerging Leaders Direct ,JBW0007AU,Yarra,www.yarracm.com,,,,,,,,,,,,,
Yarra Ex-20 Australian Equities ,JBW0052AU,Yarra,www.yarracm.com,,,,,,,,,,,,,
Yarra Global Small Companies ,JBW0103AU,Yarra,www.yarracm.com,,,,,,,,,,,,,
Yarra Investment ,JBW0005AU,Yarra,www.yarracm.com,,,,,,,,,,,,,
Yarra Leaders ,JBW0011AU,Yarra,www.yarracm.com,,,,,,,,,,,,,
Zurich Investments Australian Property Securities ,ZUR0064AU,Zurich,www.zurich.com.au,,,,,,,,,,,,,
Zurich Investments Concentrated Global Growth ,ZUR0617AU,Zurich,www.zurich.com.au,,,,,,,,,,,,,
Zurich Investments Emerging Markets Equity ,ZUR0614AU,Zurich,www.zurich.com.au,,,,,,,,,,,,,
Zurich Investments Global Growth Share ,ZUR0580AU,Zurich,www.zurich.com.au,,,,,,,,,,,,,
Zurich Investments Global Thematic Share ,ZUR0517AU,Zurich,www.zurich.com.au,,,,,,,,,,,,,
Zurich Investments Hedged Concentrated Global Growth ,ZUR0619AU,Zurich,www.zurich.com.au,,,,,,,,,,,,,
Zurich Investments Hedged Global Growth Share ,ZUR0619AU,Zurich,www.zurich.com.au,,,,,,,,,,,,,
Zurich Investments Hedged Global Thematic Share ,ZUR0517AU,Zurich,www.zurich.com.au,,,,,,,,,,,,,
Zurich Investments Small Companies D ,ZUR7150AU,Zurich,www.zurich.com.au,,,,,,,,,,,,,
Zurich Investments Unhedged Global Growth Share ,ZUR0581AU,Zurich,www.zurich.com.au,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
