Managed Fund Name,APIR,Fund Managers Name,URL,,,,,,,,,,,,,
Legg Mason Martin Currie Property Securities A ,SSB0128AU,Franklin Templeteon,www.franklintempleton.com.au,,,,,,,,,,,,,
Legg Mason Martin Currie Real Income A ,SSB0026AU,Franklin Templeteon,www.franklintempleton.com.au,,,,,,,,,,,,,
Legg Mason Martin Currie Select Opportunities A ,SSB0009AU,Franklin Templeteon,www.franklintempleton.com.au,,,,,,,,,,,,,
Legg Mason Martin Currie Sustainable Equity A ,SSB0125AU,Franklin Templeteon,www.franklintempleton.com.au,,,,,,,,,,,,,
Legg Mason Martin Currie Tactical Allocation A ,SSB0130AU,Franklin Templeteon,www.franklintempleton.com.au,,,,,,,,,,,,,
Legg Mason QS Investors Global Equity A ,SSB0126AU,Franklin Templeteon,www.franklintempleton.com.au,,,,,,,,,,,,,
Legg Mason QS Investors Global Responsible Investment A ,SSB5738AU,Franklin Templeteon,www.franklintempleton.com.au,,,,,,,,,,,,,
Legg Mason Western Asset Australian Bond A ,SSB0122AU,Franklin Templeteon,www.franklintempleton.com.au,,,,,,,,,,,,,
Legg Mason Western Asset Conservative Income A ,SSB0131AU,Franklin Templeteon,www.franklintempleton.com.au,,,,,,,,,,,,,
Legg Mason Western Asset Global Bond A ,SSB8320AU,Franklin Templeteon,www.franklintempleton.com.au,,,,,,,,,,,,,
Legg Mason Western Asset Macro Opportunities Bond A ,SSB0070AU,Franklin Templeteon,www.franklintempleton.com.au,,,,,,,,,,,,,
Lennox Australian Microcap ,HOW1289AU,Lennox Capital Partners,www.lennoxcapitalpartners.com.au,,,,,,,,,,,,,
Lennox Australian Small Companies ,HOW3590AU,Lennox Capital Partners,www.lennoxcapitalpartners.com.au,,,,,,,,,,,,,
LGM Investments Limited BMO LGM Global Emerging Markets ,PER0736AU,BMOG,www.bmogam.com,,,,,,,,,,,,,
Life Settlements Wholesale Ord AUD ,LFS0003AU,Life Settlements,lifesettlementsfund.com,,,,,,,,,,,,,
Lincoln Australian Growth Retail ,ETL0089AU,Lincoln Indicators,www.lincolnindicators.com.au,,,,,,,,,,,,,
Loftus Peak Global Disruption ,MMC0110AU,Loftus Peak,www.loftuspeak.com.au,,,,,,,,,,,,,
Macquarie Arrowstreet Global Equity Hedged ,MAQ0079AU,Macquarie,www.macquarieim.com,,,,,,,,,,,,,
Macquarie Arrowstreet Global Equity No.1 ,MAQ5378AU,Macquarie,www.macquarieim.com,,,,,,,,,,,,,
Macquarie Arrowstreet Global Equity ,MAQ0464AU,Macquarie,www.macquarieim.com,,,,,,,,,,,,,
Macquarie Australian Diversified Income ,MAQ0204AU,Macquarie,www.macquarieim.com,,,,,,,,,,,,,
Macquarie Australian Emerging Companies ,MAQ7203AU,Macquarie,www.macquarieim.com,,,,,,,,,,,,,
Macquarie Australian Fixed Interest ,MAQ0061AU,Macquarie,www.macquarieim.com,,,,,,,,,,,,,
Macquarie Australian Shares ,MAQ0443AU,Macquarie,www.macquarieim.com,,,,,,,,,,,,,
Macquarie Australian Small Companies ,MAQ0454AU,Macquarie,www.macquarieim.com,,,,,,,,,,,,,
Macquarie Diversified Equity Yield ,MAQ0836AU,Macquarie,www.macquarieim.com,,,,,,,,,,,,,
Macquarie Dynamic Bond ,MAQ0274AU,Macquarie,www.macquarieim.com,,,,,,,,,,,,,
Macquarie Hedged Index Global Infrastructure Securities ,MAQ0432AU,Macquarie,www.macquarieim.com,,,,,,,,,,,,,
Macquarie Hedged Index Global Real Estate Securities ,MAQ0830AU,Macquarie,www.macquarieim.com,,,,,,,,,,,,,
Macquarie IFP Global Franchise Hedged ,MAQ0631AU,Macquarie,www.macquarieim.com,,,,,,,,,,,,,
Macquarie IFP Global Franchise ,MAQ0404AU,Macquarie,www.macquarieim.com,,,,,,,,,,,,,
Macquarie Income Opportunities ,MAQ0277AU,Macquarie,www.macquarieim.com,,,,,,,,,,,,,
Macquarie International Infrastructure Securities ,MAQ0432AU,Macquarie,www.macquarieim.com,,,,,,,,,,,,,
Macquarie International Infrastructure Securities Unhedged ,MAQ0825AU,Macquarie,www.macquarieim.com,,,,,,,,,,,,,
Macquarie Master Balanced ,MAQ0058AU,Macquarie,www.macquarieim.com,,,,,,,,,,,,,
Macquarie Master Cash ,MAQ0187AU,Macquarie,www.macquarieim.com,,,,,,,,,,,,,
