Offering,hesta Conservative,hesta Eco,hesta Balanced Growth,hesta Indexed Balanced Growth,hesta Cash and Term Deposits,hesta Property and Infrastructure,hesta Diversified Bonds,hesta International Shares,hesta Australian Shares,hesta Core Pool ,hesta Shares Plus ,hesta Cash ,hesta Global Bonds ,hesta Property ,hesta Infrastructure ,hesta International Shares ,hesta Australian Shares ,hesta Private Equity ,hesta High Growth,aware Conservative,aware Growth,aware Growth AVG,aware High Growth AVG,aware Diversified Socially Responsible Investment,aware Diversified Socially Responsible Investment AVG,aware Balanced Growth,aware Balanced Growth AVG,aware Cash,aware Cash AVG,aware Australian Equities,aware Australian Equities AVG,aware Australian Equities Socially Responsible Investment,aware Australian Equities Socially Responsible Investment AVG,aware International Equities,aware International Equities AVG,aware Property,aware Property AVG,aware Australian Fixed Interest,aware Australian Fixed Interest AVG,aware International Fixed Interest,aware International Fixed Interest AVG,aware Conservative Growth,aware Conservative Growth AVG,telstra Growth,telstra Balanced,telstra Defensive Growth,telstra Conservative,telstra International Shares,telstra Australian Shares,telstra Property,telstra Fixed Interest,telstra Cash,telstra Diversified Income
1993-01,,,,,,,,,,,,,,,,,,,,,0.0001,,,,,,,0.00049,,,,,,,,,,,,,,0.00049,,,,,,,,,,,
1993-02,,,,,,,,,,,,,,,,,,,,,0.004590252,,,,,,,0.004590252,,,,,,,,,,,,,,0.004590252,,,,,,,,,,,
1993-03,,,,,,,,,,,,,,,,,,,,,0.005438147,,,,,,,0.005438147,,,,,,,,,,,,,,0.005438147,,,,,,,,,,,
1993-04,,,,,,,,,,,,,,,,,,,,,0.010366079,,,,,,,0.002744952,,,,,,,,,,,,,,0.008931736,,,,,,,,,,,
1993-05,,,,,,,,,,,,,,,,,,,,,0.022624891,,,,,,,0.004173778,,,,,,,,,,,,,,0.009461943,,,,,,,,,,,
1993-06,,,,,,,,,,,,,,,,,,,,,0.011068393,,,,,,,0.00349384,,,,,,,,,,,,,,0.003663189,,,,,,,,,,,
1993-07,,,,,,,,,,,,,,,,,,,,,0.048002721,,,,,,,0.004073384,,,,,,,,,,,,,,0.023216876,,,,,,,,,,,
1993-08,,,,,,,,,,,,,,,,,,,,,0.054128635,,,,,,,0.004475423,,,,,,,,,,,,,,0.02895813,,,,,,,,,,,
1993-09,,,,,,,,,,,,,,,,,,,,,0.004606038,,,,,,,0.003774582,,,,,,,,,,,,,,0.004322924,,,,,,,,,,,
1993-10,,,,,,,,,,,,,,,,,,,,,0.028437601,,,,,,,0.003411057,,,,,,,,,,,,,,0.016220865,,,,,,,,,,,
1993-11,,,,,,,,,,,,,,,,,,,,,-0.002370203,,,,,,,0.003944339,,,,,,,,,,,,,,-0.003881443,,,,,,,,,,,
1993-12,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,
1994-01,,,,,,,,,,,,,,,,,,,,,0.029917948,,,,,,,0.003708574,,,,,,,,,,,,,,0.018282696,,,,,,,,,,,
1994-02,,,,,,,,,,,,,,,,,,,,,-0.016268115,,,,,,,0.003082715,,,,,,,,,,,,,,-0.020914136,,,,,,,,,,,
1994-03,,,,,,,,,,,,,,,,,,,,,-0.011743722,,,,,,,0.003887892,,,,,,,,,,,,,,-0.012003853,,,,,,,,,,,
1994-04,,,,,,,,,,,,,,,,,,,,,0.000428306,,,,,,,0.003505436,,,,,,,,,,,,,,-0.001714765,,,,,,,,,,,
1994-05,,,,,,,,,,,,,,,,,,,,,-0.004636253,,,,,,,0.004015943,,,,,,,,,,,,,,-0.004885134,,,,,,,,,,,
1994-06,,,,,,,,,,,,,,,,,,,,,-0.026627684,,,,,,,0.00336738,,,,,,,,,,,,,,-0.025320082,,,,,,,,,,,
1994-07,,,,,,,,,,,,,,,,,,,,0.0007,0.004246387,,,,,0.0057,,0.004774193,,,,,,,,,,,,,,0.005057042,,,,,,,,,,,
1994-08,,,,,,,,,,,,,,,,,,,,0.020860398,0.018401353,,,,,0.017856147,,0.004727271,,,,,,,,,,,,,,0.01345265,,,,,,,,,,,
1994-09,,,,,,,,,,,,,,,,,,,,-0.016289793,-0.018835714,,,,,-0.017339332,,0.004833997,,,,,,,,,,,,,,-0.014246285,,,,,,,,,,,
1994-10,,,,,,,,,,,,,,,,,,,,0.006709728,0.006287292,,,,,0.004513656,,0.003969555,,,,,,,,,,,,,,0.003052964,,,,,,,,,,,
1994-11,,,,,,,,,,,,,,,,,,,,-0.037656106,-0.031661231,,,,,-0.021823406,,0.003983291,,,,,,,,,,,,,,-0.012440756,,,,,,,,,,,
1994-12,,,,,,,,,,,,,,,,,,,,0.013103404,0.01387371,,,,,0.013430166,,0.005444187,,,,,,,,,,,,,,0.011684807,,,,,,,,,,,
1995-01,,,,,,,,,,,,,,,,,,,,-0.020769045,-0.017319123,,,,,-0.010736772,,0.006132661,,,,,,,,,,,,,,-0.004103357,,,,,,,,,,,
1995-02,,,,,,,,,,,,,,,,,,,,0.020405693,0.021438577,,,,,0.019475281,,0.005663332,,,,,,,,,,,,,,0.017071383,,,,,,,,,,,
1995-03,,,,,,,,,,,,,,,,,,,,0.012658202,0.009698651,,,,,0.010836375,,0.00571338,,,,,,,,,,,,,,0.009275786,,,,,,,,,,,
1995-04,,,,,,,,,,,,,,,,,,,,0.041420622,0.042599663,,,,,0.037606569,,0.004850944,,,,,,,,,,,,,,0.025700332,,,,,,,,,,,
1995-05,,,,,,,,,,,,,,,,,,,,0.024297881,0.02396683,,,,,0.02733018,,0.006895575,,,,,,,,,,,,,,0.029534745,,,,,,,,,,,
1995-06,,,,,,,,,,,,,,,,,,,,0.014126465,0.012586749,,,,,0.012047561,,0.005267895,,,,,,,,,,,,,,0.007831692,,,,,,,,,,,
1995-07,,,,,,,,,,,,,,,,,,,,0.014669162,0.013752322,,,,,0.008399288,,0.004648743,,,,,,,,,,,,,,-0.000411621,,,,,,,,,,,
1995-08,,,,,,,,,,,,,,,,,,,,0.009229734,0.010071356,,,,,0.011682342,,0.005937157,,,,,,,,,,,,,,0.012270687,,,,,,,,,,,
1995-09,,,,,,,,,,,,,,,,,,,,0.00450262,0.005959006,,,,,0.008379338,,0.004639118,,,,,,,,,,,,,,0.011762855,,,,,,,,,,,
1995-10,,,,,,,,,,,,,,,,,,,,-0.008896495,-0.008077848,,,,,-0.005192684,,0.005617359,,,,,,,,,,,,,,0.000419443,,,,,,,,,,,
1995-11,,,,,,,,,,,,,,,,,,,,0.028870848,0.031280629,,,,,0.028902556,,0.005127308,,,,,,,,,,,,,,0.02208967,,,,,,,,,,,
1995-12,,,,,,,,,,,,,,,,,,,,0.0189189,0.016822605,,,,,0.013956806,,0.004571909,,,,,,,,,,,,,,0.010308544,,,,,,,,,,,
1996-01,,,,,,,,,,,,,,,,,,,,0.022466111,0.021723504,,,,,0.018188818,,0.00593351,,,,,,,,,,,,,,0.013995288,,,,,,,,,,,
1996-02,,,,,,,,,,,,,,,,,,,,0.005185687,0.002443208,,,,,-0.00127408,,0.004611686,,,,,,,,,,,,,,-0.005869614,,,,,,,,,,,
1996-03,,,,,,,,,,,,,,,,,,,,-0.003423281,-0.003347745,,,,,-0.002512043,,0.004884553,,,,,,,,,,,,,,-0.001506256,,,,,,,,,,,
1996-04,,,,,,,,,,,,,,,,,,,,0.021123426,0.023137463,,,,,0.020800269,,0.006411291,,,,,,,,,,,,,,0.015501403,,,,,,,,,,,
1996-05,,,,,,,,,,,,,,,,,,,,-0.010505922,-0.012445226,,,,,-0.010082098,,0.005611007,,,,,,,,,,,,,,-0.006727063,,,,,,,,,,,
1996-06,,,,,,,,,,,,,,,,,,,,0.0038415,0.005169988,,,,,0.005259423,,0.004665812,,,,,,,,,,,,,,0.007888773,,,,,,,,,,,
1996-07,,,,,,,,,,,,,,,,,,,,-0.020310128,-0.017617422,,,,,-0.008141735,,0.005821718,,,,,,,,,,,,,,0.004712182,,,,,,,,,,,
1996-08,,,,,,,,,,,,,,,,,,,,0.039649256,0.043274954,,,,,0.037734072,,0.005479711,,,,,,,,,,,,,,0.029452247,,,,,,,,,,,
1996-09,,,,,,,,,,,,,,,,,,,,0.008080646,0.006620212,,,,,0.007563936,,0.007015708,,,,,,,,,,,,,,0.009192764,,,,,,,,,,,
1996-10,,,,,,,,,,,,,,,,,,,,0.016871163,0.018425208,,,,,0.016919389,,0.005585644,,,,,,,,,,,,,,0.015348661,,,,,,,,,,,
1996-11,,,,,,,,,,,,,,,,,,,,0.030781071,0.026522043,,,,,0.021719551,,0.004718882,,,,,,,,,,,,,,0.016469466,,,,,,,,,,,
1996-12,,,,,,,,,,,,,,,,,,,,0.007501874,0.00553268,,,,,0.004642217,,0.004936216,,,,,,,,,,,,,,0.004053742,,,,,,,,,,,
1997-01,,,,,,,,,,,,,,,,,,,,0.009846021,0.008596137,,,,,0.007323277,,0.004496107,,,,,,,,,,,,,,0.004847745,,,,,,,,,,,
1997-02,,,,,,,,,,,,,,,,,,,,0.027235053,0.022107205,,,,,0.016082777,,0.003816767,,,,,,,,,,,,,,0.010142671,,,,,,,,,,,
1997-03,,,,,,,,,,,,,,,,,,,,-0.015482265,-0.016146033,,,,,-0.013207961,,0.003964845,,,,,,,,,,,,,,-0.009610285,,,,,,,,,,,
1997-04,,,,,,,,,,,,,,,,,,,,0.007743185,0.010323878,,,,,0.009494755,,0.004770783,,,,,,,,,,,,,,0.008500133,,,,,,,,,,,
1997-05,,,,,,,,,,,,,,,,,,,,0.052737879,0.045047212,,,,,0.03607146,,0.004677369,,,,,,,,,,,,,,0.026532258,,,,,,,,,,,
1997-06,,,,,,,,,,,,,,,,,,,,0.044670275,0.039183852,,,,,0.034279229,,0.004639158,,,,,,,,,,,,,,0.028577348,,,,,,,,,,,
1997-07,,,,,,,,,,,,,,,,,,,,0.024096443,0.020455931,,,,,0.01906882,,0.004299137,,,,,,,,,,,,,,0.016617303,,,,,,,,,,,
1997-08,,,,,,,,,,,,,,,,,,,,-0.023084463,-0.020686954,,,,,-0.014967957,,0.003486483,,,,,,,,,,,,,,-0.009013561,,,,,,,,,,,
1997-09,,,,,,,,,,,,,,,,,,,,0.038981132,0.038518424,,,,,0.032882754,,0.003096401,,,,,,,,,,,,,,0.028864617,,,,,,,,,,,
1997-10,,,,,,,,,,,,,,,,,,,,-0.05297272,-0.046908087,,,,,-0.031335717,,0.003456709,,,,,,,,,,,,,,-0.018542803,,,,,,,,,,,
1997-11,,,,,,,,,,,,,,,,,,,,0.014510892,0.015601086,,,,,0.012023249,,0.004703391,,,,,,,,,,,,,,0.008946932,,,,,,,,,,,
